% Model,ParaDipoleGoldSphere.mph
% Version,COMSOL 5.4.0.225
% Date,"Jan 8 2020, 15:28"
% Table,Table 4 - 
% gap_dipole_Au (nm),freq (Hz),"intop1(emw.nPoav) (W), TotalPower1","intop2(emw.nPoav) (W), TotalPower2","intop3(emw.nPoav) (W), TotalPower3"
100,3.843493051282051E14,1.0523508485100391E15,1.0510859646390652E15,1.0521510475716058E15
135.71428571428572,3.843493051282051E14,8.299802101259326E14,8.29042559099476E14,8.298284388640946E14
171.42857142857144,3.843493051282051E14,7.220140361293542E14,7.211408054816279E14,7.218827758328208E14
207.14285714285714,3.843493051282051E14,6.657141888843518E14,6.649337841407681E14,6.655930022065724E14
242.85714285714286,3.843493051282051E14,6.369366146568782E14,6.361906199644828E14,6.368148420679479E14
278.57142857142856,3.843493051282051E14,6.231649780375895E14,6.224384318222112E14,6.230449666229656E14
314.28571428571433,3.843493051282051E14,6.187663391312412E14,6.180720131753918E14,6.186566972976958E14
350,3.843493051282051E14,6.190297232254552E14,6.183047472943019E14,6.189173956178939E14
385.7142857142857,3.843493051282051E14,6.214326805245145E14,6.206649007028392E14,6.213172323168974E14
421.42857142857144,3.843493051282051E14,6.240373962712274E14,6.232846873861134E14,6.239239494417338E14
457.1428571428571,3.843493051282051E14,6.257583608847196E14,6.2504348617094E14,6.256404642299181E14
492.85714285714295,3.843493051282051E14,6.271019164555212E14,6.26358850535945E14,6.269911579654809E14
528.5714285714287,3.843493051282051E14,6.272849124382914E14,6.265711029651158E14,6.2717124711486E14
564.2857142857143,3.843493051282051E14,6.267198528233202E14,6.259665087116644E14,6.265992295810538E14
600,3.843493051282051E14,6.261539344991559E14,6.253942983677575E14,6.260581786630426E14
